CLNT_ID,LABEL
200251,F
183658,F
66492,F
262675,F
37314,F
192003,F
51222,F
130116,F
131719,F
11378,F
199909,F
45647,F
130191,F
27112,F
138501,F
69482,F
112135,F
138387,F
27669,F
154123,F
220833,F
105845,F
81129,F
248204,F
66312,F
14363,F
131806,F
87211,F
104760,F
243713,F
259440,F
104999,F
153514,F
54843,F
167659,F
7784,F
94670,F
188314,F
216077,F
210135,F
33525,F
162824,F
246703,F
85301,F
130733,F
209074,F
78870,F
158665,F
105400,F
15679,F
235444,F
127377,F
135972,F
222455,F
150046,F
74003,F
172272,F
104747,F
255593,F
170015,F
112370,F
14544,F
17008,F
235304,F
137823,F
150759,F
82003,F
262931,F
18961,F
207500,F
21953,F
256211,F
58921,F
174442,F
161740,F
147142,F
115094,F
108624,F
53046,F
118216,F
97657,F
115737,F
91418,F
130352,F
14606,F
178556,F
82749,F
226448,F
24777,F
18073,F
241075,F
89409,F
66855,F
13823,F
97058,F
105019,F
180368,F
204246,F
118515,F
182498,F
212092,F
146646,F
90765,F
142251,F
123143,F
73837,F
185483,F
120374,F
71969,F
105588,F
245330,F
243061,F
231139,F
117648,F
191891,F
131060,F
132078,F
262685,F
5612,F
135336,F
42525,F
5759,F
164419,F
213612,F
99364,F
171895,F
36257,F
141745,F
22046,F
100875,F
143667,F
79397,F
13927,F
122950,F
120729,F
8435,F
218473,F
68531,F
98067,F
156976,F
173079,F
52889,F
118390,F
101029,F
111928,F
200368,F
254255,F
229340,F
199734,F
24775,F
104702,F
243709,F
242801,F
258408,F
208072,F
7244,F
116686,F
420,F
59361,F
148005,F
242960,F
26622,F
139996,F
85718,F
64308,F
214291,F
65607,F
154005,F
209927,F
165704,F
29010,F
79858,F
49811,F
210403,F
18910,F
219760,F
193268,F
52937,F
217973,F
217244,F
228545,F
131765,F
84070,F
92333,F
80529,F
94364,F
206202,F
199584,F
167590,F
140588,F
130263,F
32371,F
135717,F
197770,F
142803,F
182618,F
237721,F
176282,F
72998,F
132532,F
123364,F
81144,F
68475,F
238236,F
205826,F
236755,F
186946,F
193919,F
35251,F
12581,F
262686,F
120557,F
252861,F
141595,F
236308,F
136499,F
232716,F
136145,F
13667,F
17701,F
124374,F
218948,F
208485,F
168059,F
232285,F
134931,F
55564,F
57188,F
205373,F
31735,F
247820,F
163584,F
116026,F
22743,F
79085,F
223437,F
21590,F
32989,F
135393,F
106284,F
70185,F
107533,F
21313,F
130216,F
181714,F
54518,F
82059,F
98976,F
61381,F
13497,F
25107,F
181690,F
144330,F
148436,F
148810,F
82408,F
247528,F
145828,F
207372,F
130737,F
165979,F
5576,F
185971,F
127923,F
80492,F
250833,F
155493,F
212956,F
38604,F
77746,F
246102,F
68736,F
92259,F
186534,F
150927,F
134707,F
245918,F
93476,F
234193,F
253551,F
118710,F
61081,F
38441,F
145169,F
177418,F
103859,F
238109,F
47947,F
69181,F
206882,F
106974,F
76609,F
171652,F
144314,F
32926,F
41190,F
117464,F
240785,F
215136,F
242405,F
49942,F
143397,F
122570,F
206403,F
192065,F
31664,F
173042,F
189942,F
54627,F
186787,F
27625,F
201619,F
28690,F
186588,F
108345,F
182074,F
101345,F
35649,F
112115,F
25146,F
146933,F
170821,F
113298,F
90820,F
240252,F
249675,F
111206,F
190852,F
126690,F
179990,F
138743,F
17819,F
63931,F
240471,F
41,F
231368,F
44319,F
209693,F
60115,F
91142,F
124498,F
177777,F
257048,F
117179,F
257165,F
7437,F
162211,F
188428,F
119412,F
93096,F
23874,F
112108,F
74213,F
194141,F
155124,F
76227,F
184219,F
182338,F
170924,F
124719,F
139662,F
138268,F
228113,F
149095,F
246730,F
141828,F
35173,F
253690,F
111547,F
112418,F
242196,F
205999,F
217725,F
178923,F
239483,F
70270,F
175929,F
162408,F
35093,F
115450,F
195179,F
185676,F
113835,F
65050,F
90532,F
225555,F
213922,F
73148,F
8094,F
49197,F
54904,F
139898,F
238533,F
210835,F
195306,F
34420,F
152320,F
144488,F
127758,F
212147,F
220367,F
166733,F
96662,F
206083,F
118184,F
125753,F
13591,F
